Team,Year,Wins,Losses,Ties,Classification,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,SpecialTeams,DeadMoney,Total,CapMax
Bears,2015,6,10,0,Bad,16725388,11448751,12807674,7560294,17921204,66463311,5097132,22051239,8796854,6925380,42870605,4289856,29656228,113623772,143280000
Bengals,2015,12,4,0,Good,10238778,4040770,18726078,3962305,26041777,63009708,25914276,20598622,8119150,16808890,71440938,5620000,3209354,140070646,143280000
Bills,2015,8,8,0,Mediocre,3732738,7707163,12781663,5735146,15086305,45043015,43755012,7776423,5657363,16809630,73998428,4250000,19988557,123291443,143280000
Broncos,2015,12,4,0,Good,19067139,2115642,23083075,7984142,25231140,77481138,18447328,15660017,11305871,13543730,58956946,3705000,3136916,140143084,143280000
Browns,2015,3,13,0,Bad,8093954,1964338,14792090,5193030,27241456,57284868,16743626,21907486,11656943,23514408,73822463,2920000,9252669,134027331,143280000
Buccaneers,2015,6,10,0,Bad,5965886,5081515,18129732,4336557,20141348,53655038,29415438,12188387,4087338,8260432,53951595,1514706,34158661,109121339,143280000
Cardinals,2015,13,3,0,Good,11834168,2946734,16186291,5182957,29469242,65619392,24656866,15119938,4181310,22409565,66367679,1760500,9532429,133747571,143280000
Chargers,2015,4,12,0,Bad,22989168,7201545,8556430,10790590,18814927,68352660,13769105,14749306,12240418,9571186,50330015,5666666,18930659,124349341,143280000
Chiefs,2015,11,5,0,Good,21476940,9656539,6172669,2273413,16221401,55800962,11606841,21741283,14112700,11077574,58538398,4745666,24194974,119085026,143280000
Colts,2015,8,8,0,Mediocre,10638775,5617471,13153178,4034629,14365795,47809848,14935562,35495549,5801282,21055447,77287840,7250000,10932312,132347688,143280000
Cowboys,2015,4,12,0,Bad,16983000,3636824,11395882,8455213,17609241,58080160,19889032,12864734,5252185,24161659,62167610,4620000,18412230,124867770,143280000
Dolphins,2015,6,10,0,Bad,7563364,2623010,7039908,6819535,23159445,47205262,29823936,9729666,10861046,14670090,65084738,2050333,28939667,114340333,143280000
Eagles,2015,7,9,0,Mediocre,17392354,12012071,9224526,6878554,23951203,69458708,15339164,18345110,11129568,13900914,58714756,3999332,11107204,132172796,143280000
Falcons,2015,8,8,0,Mediocre,20208674,2086750,23948138,2839587,15191609,64274758,22298021,9188588,7655153,5104050,44245812,4321470,30437960,112842040,143280000
Giants,2015,6,10,0,Bad,15240800,6883801,14975789,1889705,23070742,62060837,18797199,10999035,3336069,17527051,50659354,1885588,28674221,114605779,143280000
Jaguars,2015,5,11,0,Bad,8194273,5564721,7847093,16447200,24810232,62863519,34381175,13628224,5375948,9416089,62801436,1896314,15718731,127561269,143280000
Jets,2015,10,6,0,Good,5192407,6431875,20552089,4191281,33201673,69569325,17349030,14242642,8846076,31508947,71946695,1773088,-9108,143289108,143280000
Lions,2015,7,9,0,Mediocre,18498450,5554369,25484600,7702332,10416454,67656205,24213664,13578562,8736044,5062376,51590646,2727575,21305574,121974426,143280000
Packers,2015,10,6,0,Good,20090908,2917044,13021509,3295825,21177514,60502800,10632552,36726064,10790891,13207797,71357304,4941176,6478720,136801280,143280000
Panthers,2015,15,1,0,Good,15429000,13272396,8477173,8146666,21230527,66555762,30121586,18067227,5187392,4940895,58317100,4774670,13632468,129647532,143280000
Patriots,2015,12,4,0,Good,14791795,4333999,16040318,12066813,21165260,68398185,16409001,16682611,11471634,4536710,49099956,5163000,20618859,122661141,143280000
Raiders,2015,7,9,0,Mediocre,1918064,3907750,12243561,4799545,31155998,54024918,23433042,12767283,14730695,4515992,55447012,5255235,28552835,114727165,143280000
Rams,2015,7,9,0,Mediocre,5218449,4573838,11759085,15475441,18702572,55729385,47269247,10751780,8220899,4293600,70535526,3947080,13068009,130211991,143280000
Ravens,2015,5,11,0,Bad,16944412,2913788,9952732,8782294,20756704,59349930,6458833,22299734,17048671,7299764,53107002,5421000,25402068,117877932,143280000
Redskins,2015,9,7,0,Mediocre,8872885,3242342,24335809,5451490,27764389,69666915,21148325,16304647,6696517,11146176,55295665,2102500,16214920,127065080,143280000
Saints,2015,7,9,0,Mediocre,25358586,5692821,9440930,3887942,18404737,62785016,9492895,10965605,11168099,9757823,41384422,4702058,34408504,108871496,143280000
Seahawks,2015,10,6,0,Good,8554868,10635847,9888081,10063162,12810650,51952608,27371784,12979618,14428318,15557555,70337275,5670000,15320117,127959883,143280000
Steelers,2015,10,6,0,Good,20358139,3265082,10701027,6131594,19423147,59878989,14557602,20934781,5560650,13377624,54430657,1432647,27537707,115742293,143280000
Texans,2015,9,7,0,Mediocre,6357837,10875801,6411093,5702571,22820504,52167806,20580901,21628161,4828838,23059240,70097140,3503848,17511206,125768794,143280000
Titans,2015,3,13,0,Bad,5017020,5286810,8113034,10117500,11157861,39692225,21707812,15811256,12937775,15939246,66396089,4744666,32447020,110832980,143280000
Vikings,2015,11,5,0,Good,5245038,17210950,15700531,8705993,29660487,76522999,24756894,12576191,5565439,14643487,57542011,3455531,5759459,137520541,143280000
49ers,2016,2,14,0,Bad,23694507,3028926,11876072,5615042,16923639,61138186,12233787,27657777,10807904,9075198,59774666,4677550,29679598,125590402,155270000
Bears,2016,3,13,0,Bad,20140353,2164522,23453575,4156185,25044099,74958734,10499728,35223650,3785524,9545141,59054043,1751327,19505896,135764104,155270000
Bengals,2016,6,9,1,Bad,14195413,7582248,17903068,4895878,26963355,71539962,31257053,15238247,10932963,20040214,77468477,4104117,2157444,153112556,155270000
Bills,2016,7,9,0,Mediocre,10286322,10305929,13321463,7994746,19315114,61223574,30257421,8187722,14367753,15208647,68021543,4245000,21779883,133490117,155270000
Broncos,2016,9,7,0,Mediocre,2261161,7652724,24631438,4002548,14289846,52837717,22599746,21118620,11486444,22329018,77533828,1281766,23616689,131653311,155270000
Browns,2016,1,15,0,Bad,11022385,2873269,8060225,3663632,20849784,46469295,12135603,7112029,2503713,23427666,45179011,2719117,60902577,94367423,155270000
Buccaneers,2016,9,7,0,Mediocre,8192029,9960806,20084145,4589627,28332177,71158784,32879948,15028993,5670300,21537490,75116731,3086830,5907655,149362345,155270000
Cardinals,2016,7,8,1,Mediocre,20967647,5171763,19073522,5942819,19298535,70454286,24563395,17506350,11210539,16623998,69904282,1235792,13675640,141594360,155270000
Chargers,2016,5,11,0,Bad,17180000,7457629,18017691,8274768,25538138,76468226,23030310,15314026,7089050,18462884,63896270,1912622,12992882,142277118,155270000
Chiefs,2016,12,4,0,Good,20232200,8036819,16078663,4923789,15060778,64332249,17326136,28506033,15661151,5252667,66745987,6025667,18166097,137103903,155270000
Colts,2016,8,8,0,Mediocre,19980000,5551333,14669690,11144550,20978970,72324543,10341107,23740432,7557088,13866511,55505138,6750000,20690319,134579681,155270000
Cowboys,2016,13,3,0,Good,23926148,9073966,19837501,9867494,21408752,84113861,14994947,16163174,8367517,20670361,60195999,5920000,5040140,150229860,155270000
Dolphins,2016,10,6,0,Good,13281182,1974686,6367688,11317299,28772146,61713001,42464751,8873417,11884805,12949485,76172458,2265333,15119208,140150792,155270000
Eagles,2016,7,9,0,Mediocre,9960643,10317028,4931355,6394996,33687976,65291998,29617028,12105117,11431668,6807479,59961292,2962744,27053966,128216034,155270000
Falcons,2016,11,5,0,Good,25631100,1852741,21945916,5486900,21046268,75962925,24689535,10513747,4903067,6580038,46686387,6743333,25877355,129392645,155270000
Giants,2016,11,5,0,Good,25595300,9665597,16493051,3014714,13326066,68094728,20436629,25782645,3598913,21773449,71591636,2588235,12995401,142274599,155270000
Jaguars,2016,3,13,0,Bad,10864196,5551588,14724668,11943324,23218590,66302366,40513354,11310962,7553819,16930497,76308632,3350000,9309002,145960998,155270000
Jets,2016,5,11,0,Bad,10107898,5337110,20760335,2530923,27844419,66580685,21908891,13511294,7858962,24531901,67811048,4744781,16133486,139136514,155270000
Lions,2016,9,7,0,Mediocre,23338824,3971695,17619492,6514242,17174595,68618848,17318764,13539421,11189104,8071148,50118437,5070075,31462640,123807360,155270000
Packers,2016,10,6,0,Good,19910320,4891731,20326344,3544204,20810535,69483134,14048475,34780061,10901780,16459880,76190196,3525000,6071670,149198330,155270000
Panthers,2016,6,10,0,Bad,21450000,10958863,8550593,8019942,25130242,74109640,15822244,18305233,5567091,3505394,43199962,5060290,32900108,122369892,155270000
Patriots,2016,14,2,0,Good,15259305,5014925,17034672,12945867,26800280,77055049,19931762,13450124,12755434,4775449,50912769,6387500,20914682,134355318,155270000
Raiders,2016,12,4,0,Good,4623009,2818849,19361975,5870639,36972041,69646513,30211097,7047949,12697085,20847900,70804031,10187500,4631956,150638044,155270000
Rams,2016,4,12,0,Bad,9453311,6684248,17565083,7779092,18948473,60430207,34625253,9904864,5822846,15228577,65581540,4498773,24759480,130510520,155270000
Ravens,2016,8,8,0,Mediocre,24056900,2492212,13619295,8561035,18007403,66736845,7240013,21911672,18916487,13055152,61123324,7540000,19869831,135400169,155270000
Redskins,2016,8,7,1,Mediocre,22237334,2428948,23519793,8387911,26263648,82837634,9799579,16294454,7736030,10733385,44563448,2612500,25256418,130013582,155270000
Saints,2016,7,9,0,Mediocre,18617300,4961190,5224319,5726719,19176356,53705884,14422130,9977450,16579686,4828050,45807316,4390000,51366800,103903200,155270000
Seahawks,2016,10,5,1,Good,18997000,2236171,13750952,12684653,6307577,53976353,22974342,15426110,17920176,20642727,76963355,5125000,19205292,136064708,155270000
Steelers,2016,11,5,0,Good,25334805,4433346,16885326,4133728,28392364,79179569,14224578,30494261,7261255,6603699,58583793,1730000,15776638,139493362,155270000
Texans,2016,9,7,0,Mediocre,14412646,7911734,6448981,2062362,31103538,61939261,22938450,28597639,5327548,19939515,76803152,3355000,13172587,142097413,155270000
Titans,2016,9,7,0,Mediocre,7534058,7603960,14852328,10992080,20398613,61381039,16030883,24561209,10382798,13084964,64059854,6234666,23594441,131675559,155270000
Vikings,2016,8,8,0,Mediocre,12430538,13666191,8596564,7804564,32879606,75377463,27239617,12675405,12925603,16485260,69325885,1808989,8757663,146512337,155270000
