Team,Year,Wins,Losses,Ties,Classification,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,SpecialTeams,DeadMoney,Total,CapMax,PercentUsed
Cowboys,2015.0,4.0,12.0,0.0,Bad,16983000.0,3636824.0,11395882.0,8455213.0,17609241.0,58080160.0,19889032.0,12864734.0,5252185.0,24161659.0,62167610.0,4620000.0,18412230.0,124867770.0,143280000.0,0.8714947654941374
Dolphins,2015.0,6.0,10.0,0.0,Bad,7563364.0,2623010.0,7039908.0,6819535.0,23159445.0,47205262.0,29823936.0,9729666.0,10861046.0,14670090.0,65084738.0,2050333.0,28939667.0,114340333.0,143280000.0,0.7980201912339475
Eagles,2015.0,7.0,9.0,0.0,Mediocre,17392354.0,12012071.0,9224526.0,6878554.0,23951203.0,69458708.0,15339164.0,18345110.0,11129568.0,13900914.0,58714756.0,3999332.0,11107204.0,132172796.0,143280000.0,0.9224790340591849
Falcons,2015.0,8.0,8.0,0.0,Mediocre,20208674.0,2086750.0,23948138.0,2839587.0,15191609.0,64274758.0,22298021.0,9188588.0,7655153.0,5104050.0,44245812.0,4321470.0,30437960.0,112842040.0,143280000.0,0.7875630932439978
Giants,2015.0,6.0,10.0,0.0,Bad,15240800.0,6883801.0,14975789.0,1889705.0,23070742.0,62060837.0,18797199.0,10999035.0,3336069.0,17527051.0,50659354.0,1885588.0,28674221.0,114605779.0,143280000.0,0.7998728294249023
Jaguars,2015.0,5.0,11.0,0.0,Bad,8194273.0,5564721.0,7847093.0,16447200.0,24810232.0,62863519.0,34381175.0,13628224.0,5375948.0,9416089.0,62801436.0,1896314.0,15718731.0,127561269.0,143280000.0,0.8902936139028476
Jets,2015.0,10.0,6.0,0.0,Good,5192407.0,6431875.0,20552089.0,4191281.0,33201673.0,69569325.0,17349030.0,14242642.0,8846076.0,31508947.0,71946695.0,1773088.0,-9108.0,143289108.0,143280000.0,1.000063567839196
Lions,2015.0,7.0,9.0,0.0,Mediocre,18498450.0,5554369.0,25484600.0,7702332.0,10416454.0,67656205.0,24213664.0,13578562.0,8736044.0,5062376.0,51590646.0,2727575.0,21305574.0,121974426.0,143280000.0,0.8513011306532663
Packers,2015.0,10.0,6.0,0.0,Good,20090908.0,2917044.0,13021509.0,3295825.0,21177514.0,60502800.0,10632552.0,36726064.0,10790891.0,13207797.0,71357304.0,4941176.0,6478720.0,136801280.0,143280000.0,0.9547828029034059
Panthers,2015.0,15.0,1.0,0.0,Good,15429000.0,13272396.0,8477173.0,8146666.0,21230527.0,66555762.0,30121586.0,18067227.0,5187392.0,4940895.0,58317100.0,4774670.0,13632468.0,129647532.0,143280000.0,0.9048543551088777
Patriots,2015.0,12.0,4.0,0.0,Good,14791795.0,4333999.0,16040318.0,12066813.0,21165260.0,68398185.0,16409001.0,16682611.0,11471634.0,4536710.0,49099956.0,5163000.0,20618859.0,122661141.0,143280000.0,0.8560939489112228
Raiders,2015.0,7.0,9.0,0.0,Mediocre,1918064.0,3907750.0,12243561.0,4799545.0,31155998.0,54024918.0,23433042.0,12767283.0,14730695.0,4515992.0,55447012.0,5255235.0,28552835.0,114727165.0,143280000.0,0.8007200237297599
Rams,2015.0,7.0,9.0,0.0,Mediocre,5218449.0,4573838.0,11759085.0,15475441.0,18702572.0,55729385.0,47269247.0,10751780.0,8220899.0,4293600.0,70535526.0,3947080.0,13068009.0,130211991.0,143280000.0,0.9087939070351759
Ravens,2015.0,5.0,11.0,0.0,Bad,16944412.0,2913788.0,9952732.0,8782294.0,20756704.0,59349930.0,6458833.0,22299734.0,17048671.0,7299764.0,53107002.0,5421000.0,25402068.0,117877932.0,143280000.0,0.8227103015075377
Redskins,2015.0,9.0,7.0,0.0,Mediocre,8872885.0,3242342.0,24335809.0,5451490.0,27764389.0,69666915.0,21148325.0,16304647.0,6696517.0,11146176.0,55295665.0,2102500.0,16214920.0,127065080.0,143280000.0,0.8868305415968732
Saints,2015.0,7.0,9.0,0.0,Mediocre,25358586.0,5692821.0,9440930.0,3887942.0,18404737.0,62785016.0,9492895.0,10965605.0,11168099.0,9757823.0,41384422.0,4702058.0,34408504.0,108871496.0,143280000.0,0.7598513121161362
Seahawks,2015.0,10.0,6.0,0.0,Good,8554868.0,10635847.0,9888081.0,10063162.0,12810650.0,51952608.0,27371784.0,12979618.0,14428318.0,15557555.0,70337275.0,5670000.0,15320117.0,127959883.0,143280000.0,0.8930756769960916
Steelers,2015.0,10.0,6.0,0.0,Good,20358139.0,3265082.0,10701027.0,6131594.0,19423147.0,59878989.0,14557602.0,20934781.0,5560650.0,13377624.0,54430657.0,1432647.0,27537707.0,115742293.0,143280000.0,0.8078049483528755
Texans,2015.0,9.0,7.0,0.0,Mediocre,6357837.0,10875801.0,6411093.0,5702571.0,22820504.0,52167806.0,20580901.0,21628161.0,4828838.0,23059240.0,70097140.0,3503848.0,17511206.0,125768794.0,143280000.0,0.877783319374651
Titans,2015.0,3.0,13.0,0.0,Bad,5017020.0,5286810.0,8113034.0,10117500.0,11157861.0,39692225.0,21707812.0,15811256.0,12937775.0,15939246.0,66396089.0,4744666.0,32447020.0,110832980.0,143280000.0,0.7735411781127861
Vikings,2015.0,11.0,5.0,0.0,Good,5245038.0,17210950.0,15700531.0,8705993.0,29660487.0,76522999.0,24756894.0,12576191.0,5565439.0,14643487.0,57542011.0,3455531.0,5759459.0,137520541.0,143280000.0,0.9598027707984367
49ers,2016.0,2.0,14.0,0.0,Bad,23694507.0,3028926.0,11876072.0,5615042.0,16923639.0,61138186.0,12233787.0,27657777.0,10807904.0,9075198.0,59774666.0,4677550.0,29679598.0,125590402.0,155270000.0,0.808851690603465
Bears,2016.0,3.0,13.0,0.0,Bad,20140353.0,2164522.0,23453575.0,4156185.0,25044099.0,74958734.0,10499728.0,35223650.0,3785524.0,9545141.0,59054043.0,1751327.0,19505896.0,135764104.0,155270000.0,0.874374341469698
Bengals,2016.0,6.0,9.0,1.0,Bad,14195413.0,7582248.0,17903068.0,4895878.0,26963355.0,71539962.0,31257053.0,15238247.0,10932963.0,20040214.0,77468477.0,4104117.0,2157444.0,153112556.0,155270000.0,0.9861052102788691
Bills,2016.0,7.0,9.0,0.0,Mediocre,10286322.0,10305929.0,13321463.0,7994746.0,19315114.0,61223574.0,30257421.0,8187722.0,14367753.0,15208647.0,68021543.0,4245000.0,21779883.0,133490117.0,155270000.0,0.8597289688928963
Broncos,2016.0,9.0,7.0,0.0,Mediocre,2261161.0,7652724.0,24631438.0,4002548.0,14289846.0,52837717.0,22599746.0,21118620.0,11486444.0,22329018.0,77533828.0,1281766.0,23616689.0,131653311.0,155270000.0,0.8478992142719134
Browns,2016.0,1.0,15.0,0.0,Bad,11022385.0,2873269.0,8060225.0,3663632.0,20849784.0,46469295.0,12135603.0,7112029.0,2503713.0,23427666.0,45179011.0,2719117.0,60902577.0,94367423.0,155270000.0,0.6077633992400335
Buccaneers,2016.0,9.0,7.0,0.0,Mediocre,8192029.0,9960806.0,20084145.0,4589627.0,28332177.0,71158784.0,32879948.0,15028993.0,5670300.0,21537490.0,75116731.0,3086830.0,5907655.0,149362345.0,155270000.0,0.9619523732852451
Cardinals,2016.0,7.0,8.0,1.0,Mediocre,20967647.0,5171763.0,19073522.0,5942819.0,19298535.0,70454286.0,24563395.0,17506350.0,11210539.0,16623998.0,69904282.0,1235792.0,13675640.0,141594360.0,155270000.0,0.9119234881174728
Chargers,2016.0,5.0,11.0,0.0,Bad,17180000.0,7457629.0,18017691.0,8274768.0,25538138.0,76468226.0,23030310.0,15314026.0,7089050.0,18462884.0,63896270.0,1912622.0,12992882.0,142277118.0,155270000.0,0.9163207187479874
Chiefs,2016.0,12.0,4.0,0.0,Good,20232200.0,8036819.0,16078663.0,4923789.0,15060778.0,64332249.0,17326136.0,28506033.0,15661151.0,5252667.0,66745987.0,6025667.0,18166097.0,137103903.0,155270000.0,0.883003175114317
Colts,2016.0,8.0,8.0,0.0,Mediocre,19980000.0,5551333.0,14669690.0,11144550.0,20978970.0,72324543.0,10341107.0,23740432.0,7557088.0,13866511.0,55505138.0,6750000.0,20690319.0,134579681.0,155270000.0,0.866746190506859
Cowboys,2016.0,13.0,3.0,0.0,Good,23926148.0,9073966.0,19837501.0,9867494.0,21408752.0,84113861.0,14994947.0,16163174.0,8367517.0,20670361.0,60195999.0,5920000.0,5040140.0,150229860.0,155270000.0,0.9675395118181233
Dolphins,2016.0,10.0,6.0,0.0,Good,13281182.0,1974686.0,6367688.0,11317299.0,28772146.0,61713001.0,42464751.0,8873417.0,11884805.0,12949485.0,76172458.0,2265333.0,15119208.0,140150792.0,155270000.0,0.9026263412120822
